artwork - UNIQUE_KEY,artwork - DATE_EXECUTION_DATATION_TXT
251604,1757 - 1758
250994,1765
251042,1768
251902,1er quart du 19e siècle
251998,1770
250855,1758
251171,1781
251181,1782
229467,19e siècle
250997,1772
251783,18e siècle
251793,4e quart du 19e siècle
251794,18e siècle
251905,18e siècle
251909,18e siècle
251911,18e siècle
251919,18e siècle
251938,18e siècle
250966,1764
232195,1520 - 1530
250907,1760
251103,1771
251519,1766
251520,1766
251600,1756 - 1757
254663,1er quart du 16e siècle
251111,1771
250177,1er quart du 18e siècle
250751,1757
250753,1765 - 1770
251278,1752 - 1754
251286,1752 - 1754
229277,18e siècle
251418,1760
250754,1765 - 1770
251049,1769
251639,1763
251658,1765
251516,1766
251517,1766
251518,1766
251345,1765
251355,1769
251218,1786
251221,1786
251223,1786
251505,1766
251514,1766
250971,1765
251515,1766
251628,1758 - 1759
250909,1760
251796,18e siècle
251629,1758 - 1759
251637,1760
251817,1820
250955,1763
251818,1820
251856,18e siècle
251444,1765
251152,1778
251342,1761
251216,1786
250927,1760
250929,1760
250934,1761
251479,1765
251173,1782
251402,Vers 1760
251123,1772
251127,1773
251627,1758 - 1759
250972,1765
229138,18e siècle
251341,1761
251799,18e siècle
251801,18e siècle
251805,
229548,19e siècle
250917,1760
250921,1760
251746,2e moitié du 18e siècle
254649,15e siècle
254650,15e siècle
254653,15e siècle
251046,1769
250926,1760
250901,1760
251741,4e quart du 18e siècle
229144,18e siècle
229288,19e siècle
251023,1768
251591,1754 - 1755
251592,1754 - 1755
251594,1756 - 1757
251663,1768
251309,1754
251435,1756 - 1757
251436,1757 - 1758
251544,1765
251641,1763
251908,
251910,18e siècle
251949,18e siècle
250778,1753
251235,1788
251260,1752 - 1753
251645,1764
251807,18e siècle
251811,18e siècle
251055,1769
251958,19e siècle
251965,18e siècle
250847,1757 - 1758
251477,1765
251491,1765
251499,1765
251251,1752 - 1753
251340,1760
251782,18e siècle
251316,1752 - 1753
251320,1753 - 1754
251816,18e siècle
251067,1770
251073,1770
251080,1772
251784,18e siècle
251625,1757
254546,18e siècle
251058,1769
251078,1772
251234,1788
251858,4e quart du 18e siècle
251317,1752 - 1753
251346,1765
251714,
229201,19e siècle
251266,1752 - 1753
251321,1753 - 1754
251405,Vers 1760
251827,18e siècle
251836,4e quart du 18e siècle
251843,4e quart du 18e siècle
251846,18e siècle
251473,1765
254582,1767
251670,1770
251671,1770
251236,1788
251241,1791
251270,1752 - 1754
251632,1760
251647,1764
251480,1765
251485,1765
251489,1765
254587,1768 - 1772
251550,1765
251244,1791
251250,1752 - 1753
251620,1757 - 1758
251634,1760
251243,1791
251785,18e siècle
251798,18e siècle
251730,1775
251257,1752 - 1753
251773,18e siècle
251731,
251493,1765
251494,1765
250802,1755 - 1756
250832,1756 - 1757
251059,1770
251409,1766
251412,1768
251419,1769
229499,19e siècle
251732,
251851,18e siècle
251853,4e quart du 18e siècle
251887,18e siècle
251890,18e siècle - 19e siècle
251497,1765
251498,1765
229289,2e quart du 18e siècle - 4e quart du 18e siècle
229324,18e siècle
254557,1763
229770,
250748,1756 - 1757
254328,19e siècle
251652,1764
251735,
251507,1766
251526,1767
251222,1786
251556,1766
251573,1767
251589,1752 - 1753
251661,1768
251061,1770
251069,1770
251272,1752 - 1754
251274,1752 - 1754
251277,1752 - 1754
251295,1754
251737,
251740,
251590,1753
251619,1757 - 1758
251237,1790
250925,1760
250944,1763
251264,1752 - 1753
251280,1752 - 1754
251289,1752 - 1754
251669,1770
251775,18e siècle
251888,18e siècle
251865,18e siècle
251421,1772
251108,1771
251116,1771
251125,1772
251896,
251897,18e siècle
251900,
251622,1757 - 1758
251447,1769
251898,2e quart du 18e siècle - 3e quart du 18e siècle
251912,18e siècle
251432,1772
251636,1760
251906,
251449,1769
251459,1788
251231,1787
229355,1ère moitié du 18e siècle
251623,1757 - 1758
228801,4e quart du 15e siècle - 1er quart du 16e siècle
229386,1ère moitié du 18e siècle
254953,
251587,1749
251063,1770
251997,1760
251208,1786
250899,1785
251060,1770
254863,2e quart du 16e siècle - 3e quart du 16e siècle
254864,2e quart du 16e siècle - 3e quart du 16e siècle
254865,2e quart du 16e siècle - 3e quart du 16e siècle
254866,2e quart du 16e siècle - 3e quart du 16e siècle
251105,1771
251548,1765 - 1711
251284,1752 - 1754
254867,2e quart du 16e siècle - 3e quart du 16e siècle
254869,2e quart du 16e siècle - 3e quart du 16e siècle
254870,2e quart du 16e siècle - 3e quart du 16e siècle
229752,18e siècle
251336,1757 - 1758
250981,1765
254872,2e quart du 16e siècle - 3e quart du 16e siècle
254874,2e quart du 16e siècle - 3e quart du 16e siècle
250845,1757 - 1758
254910,4e quart du 16e siècle
254912,16e siècle
254913,16e siècle
254914,4e quart du 16e siècle
254934,18e siècle
254936,18e siècle
254937,18e siècle
255067,1795 - 1799
254915,16e siècle
254916,4e quart du 16e siècle - 1er quart du 17e siècle
254917,16e siècle - 17e siècle
254918,Vers 1600
254938,18e siècle
254940,2e moitié du 18e siècle
254942,2e moitié du 18e siècle - 1er quart du 19e siècle
251943,18e siècle
254944,1827
251945,18e siècle
251790,18e siècle
255068,1795 - 1799
251833,18e siècle
229199,18e siècle
254949,
254950,
254951,15e siècle
254547,1752 - 1753
229112,17e siècle
251792,
251802,18e siècle
251772,18e siècle
254708,1764
251303,1754
251365,1774
254709,1765
251715,
251282,1752 - 1754
251348,1767
251407,1760
251469,1765
251567,1765
254579,1766
229362,2e quart du 18e siècle - 4e quart du 18e siècle
251395,1774
251441,1773
251536,1774
254581,1765
251510,1766
251529,1770
251417,1760
251433,1756 - 1757
251450,1770
251546,1765 - 1711
251776,4e quart du 18e siècle
251662,1768
250783,1753 - 1754
250799,Vers 1754
251482,1765
251537,1765 - 1771
251543,1765
251729,
251733,
232175,1ère moitié du 16e siècle
250953,1763
250956,1763
250838,1757 - 1758
250860,1758 - 1759
251352,1769
251391,1787
251404,1759 - 1760
251487,1765
251488,1765
251545,1765
250988,1765
251142,1774
251864,1ère moitié du 19e siècle
251161,1780
