"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"ALCACER, JOSE ANTONIO","alcacer, jose antonio",,alcacer,alcacer,1965,ESPAGNE,DECO/THEA,,,Non,Non,Non,Non,Non,Non identifié
"ALCAIN, ALFREDO","alcain, alfredo",1967,alcain,alcain,1967,ESPAGNE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALCARAZ-LAUS, RODOLFO","alcaraz-laus, rodolfo",,alcaraz-laus,alcaraz-laus,1971,France,INTER,,CG,Oui,Non,Non,Non,Non,ACA
"ALCARAZ-LAUS, RODOLFO","alcaraz-laus, rodolfo",,alcaraz-laus,alcaraz-laus,1971,France,INTER,POLYGONAL WORK.,CG,Oui,Non,Oui,Oui,Non,ACA
"ALCORLO, MANUEL","alcorlo, manuel",,alcorlo,alcorlo,1965,ESPAGNE,GV,,,Non,Non,Non,Non,Non,Non identifié
"ALEA, HUGO","alea, hugo",1969,alea,alea,1969,CUBA,FILM,,,Oui,Non,Non,Non,Non,ACA
"ALECHINSKY, PIERRE","alechinsky, pierre",1961,alechinsky,alechinsky,1961,France,FILM/ART,,CA,Oui,Non,Oui,Oui,Non,ACA
"ALEKSANDER, NINA","aleksander, nina",1961,aleksander,aleksander,1961,AFRIQUE DU SUD,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
ALESSANDRINI,alessandrini,,alessandrini,alessandrini,1971,France,DES/PRESS,,CG,Oui,Non,Non,Non,Non,ACA
"ALEXANCO, JOSE LUIS","alexanco, jose luis","1967, 1969",alexanco,alexanco,1967,ESPAGNE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ALEXANCO, JOSE LUIS","alexanco, jose luis","1967, 1969",alexanco,alexanco,1969,ESPAGNE,GV,,,Oui,Non,Non,Non,Non,ACA
"ALEXANDRE, PATRICE","alexandre, patrice",,alexandre,alexandre,1980,France,AP,,,Oui,Oui,Oui,Oui,Non,ACA
"ALFANO, CARLO","alfano, carlo",1967,alfano,alfano,1967,ITALIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALFONSO, REINALDO","alfonso, reinaldo",1969,alfonso,alfonso,1969,CUBA,FILM,,,Oui,Non,Non,Non,Non,ACA
ALGOL,algol,,algol,algol,1971,BELGIQUE,INTER,,,Oui,Non,Oui,Non,Non,ACA
"ALIMA, RITTA","alima, ritta",,alima,alima,1959,ISRAEL,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALIMOV, SERGE","alimov, serge",,alimov,alimov,1971,URSS,SCENO,,,Oui,Non,Non,Oui,Non,ACA
"ALITHINOS, DIMITRI","alithinos, dimitri",,alithinos,alithinos,1980,GRECE,PERF,,,Oui,Oui,Oui,Oui,Non,ACA/BK
