lieu_conservation,lieu_conservation 1,coordonnées géographiques,lieu_conservation 2,nombre_oeuvres
Musée Descartes (Descartes),musée Descartes,"46.974226, 0.703095",Descartes,1
Musée Jacquemart-André (Paris),musée Jacquemart-André,"48.87543,2.31051",Paris,1
Musée Jean de La Fontaine (Château-Thierry),musée Jean de La Fontaine,"49.04675,3.399994",Château-Thierry,1
Musée national (Varsovie),musée national de Varsovie,"52.23176111111111,21.024766666666668",Varsovie,1
Musée Sainte-Croix (Poitiers),musée Sainte-Croix,"46.57909689,0.34763935",Poitiers,1
Museum d'histoire naturelle (Paris),Muséum national d'histoire naturelle,"48.84222222222222,2.3561111111111113",Paris,1
The Walters Art Museum (Baltimore),Walters Art Museum,"39.296666666667,-76.616111111111",Baltimore,1
Tokyo,Tokyo,"35.689722222222,139.69222222222",,1
Troyes,Troyes,"48.298888888889,4.0780555555556",,1
Winchester College,Winchester College,"51.05834,-1.31259",,1
